10/07, ,08h00 - 09h30, ,Matière à préciser,ARLOTTO PhilippeKRAMMER MichelREYMOND Corine,E002 - E002E208 - E208, ,N°1,DS
10/07, ,09h30 - 11h00,S1_AB,Expression Communication,ARRIVE Nadege,E101B - E101, ,N°6,TD
10/07, ,09h30 - 11h00,S1_F,Init. gestion projet,KAHN Maurice,E217 - E217, ,N°2,TP
10/07, ,09h30 - 11h00,S1_GH,Mathématiques,LE BEUX Sylvia,E005 - E005, ,N°6,TD
10/07, ,09h30 - 11h00,S1_CD,Syst. d'information num.,ABELLARD Alexandre,E201 - E201, ,N°4,TD
10/07, ,11h00 - 12h00, ,Mathématiques,LE BEUX Sylvia,A050 - AMPHI EST, ,N°3,Cours (CM)
10/07, ,13h30 - 15h00,S1_A,Ad.- Méth. réussite univ.,LEREDDE Alexandre,E209 - E209, ,N°1,TP
10/07,A,13h30 - 15h00,S1_F,Anglais, ,B210 - B210, , ,TP
10/07, ,13h30 - 15h00,S1_C,Expression Communication,ARRIVE Nadege,E215 - E215, ,N°4,TP
10/07, ,13h30 - 15h00,S1_F,Informatique,PIGNOL Stephane,E213 - E213, ,N°7,TP
10/07, ,13h30 - 15h00,S1_B,Init. gestion projet,KAHN Maurice,E217 - E217, ,N°2,TP
10/07, ,13h30 - 15h00,S1_D,Syst. d'information num.,ABELLARD Alexandre,E104 - E104, ,N°2,TP
10/07, ,13h30 - 16h30,S1_H,Réal. d'ens. pluritechno.,KRAMMER Michel,E214 - E214, ,N°7,TP
10/07, ,15h00 - 16h30,S1_B,Ad.- Méth. réussite univ.,LEREDDE Alexandre,E209 - E209, ,N°1,TP
10/07, ,15h00 - 16h30,S1_A,Expression Communication,ARRIVE Nadege,E213 - E213, ,N°4,TP
10/07, ,15h00 - 16h30,S1_D,Init. gestion projet,KAHN Maurice,E217 - E217, ,N°2,TP
10/07, ,15h00 - 16h30,S1_C,Syst. d'information num.,ABELLARD Alexandre,E104 - E104, ,N°2,TP
10/07, ,16h30 - 18h00,S1_D,Ad.- Méth. réussite univ.,LEREDDE Alexandre,E209 - E209, ,N°1,TP
10/07, ,16h30 - 18h00,S1_H,Init. gestion projet,KAHN Maurice,E217 - E217, ,N°2,TP
10/08,A,08h00 - 09h30,S1_D,Anglais, ,B202 - B202, , ,TP
